Variable,Scenario,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200,2205,2210,2215,2220,2225,2230,2235,2240,2245,2250,2255,2260,2265,2270,2275,2280,2285,2290,2295,2300,2305,2310,2315,2320,2325,2330,2335,2340,2345,2350,2355,2360,2365,2370,2375,2380,2385,2390,2395,2400,2405,2410,2415,2420
MIU,Optimal,0.05,0.1,0.24,0.274677,0.309949,0.348932,0.39194,0.427163,0.464505,0.504058,0.545703,0.589569,0.635534,0.683581,0.733702,0.785883,0.840083,0.889279,0.939926,0.991955,1.04555,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S,Optimal,0.256366,0.253735,0.251148,0.249569,0.248423,0.247606,0.247043,0.246782,0.24677,0.24698,0.247406,0.248029,0.248839,0.24983,0.25098,0.252259,0.253604,0.255151,0.256739,0.258269,0.259497,0.259994,0.261563,0.262945,0.264242,0.265494,0.266741,0.267986,0.269243,0.270496,0.271759,0.273021,0.274253,0.275429,0.276488,0.277315,0.277687,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
K,Optimal,295,346.162,401.814,461.656,527.042,598.478,676.424,761.342,853.928,954.854,1064.86,1184.78,1315.55,1458.2,1613.87,1783.81,1969.29,2171.5,2392.77,2634.51,2897.81,3182.57,3486.27,3825.03,4198.39,4607.2,5053.1,5538.46,6065.99,6638.84,7260.33,7934.22,8664.38,9454.51,10308.2,11228.1,12214.9,13264.6,14439.9,15667.7,16958.7,18322.9,19768.9,21304.7,22938.2,24676.7,26527.7,28498.3,30596.2,32828.9,35204,37729.6,40413.7,43264.8,46291.4,49502.3,52906.6,56513.6,60347.5,64387,68647.2,73143.1,77889,82898.7,88186.1,93764.7,99648.5,105852,112388,119274,126524,134153,142179,150617,159486,168803,178586,188855,199628,210927,222771
YGROSS,Optimal,134.891,156.743,180.558,206.375,234.467,265.005,298.162,334.129,373.136,415.426,461.261,510.933,564.756,623.073,686.256,754.704,828.835,909.076,996.009,1090.12,1191.88,1301.62,1419.42,1547.65,1686.66,1836.97,1999.26,2174.3,2362.93,2566.08,2784.71,3019.9,3272.73,3544.31,3835.79,4148.23,4482.54,4839.16,5225.83,5635.52,6070.47,6532.83,7024.67,7548.03,8104.96,8697.53,9327.86,9998.14,10710.6,11467.6,12271.4,13124.7,14029.9,14989.7,16007,17084.5,18225.2,19432.1,20710,22059,23482.8,24985.5,26571.1,28243.7,30007.2,31865.9,33824.2,35886.4,38057,40340.8,42742.7,45267.5,47920.5,50706.8,53632.1,56701.8,59921.7,63297.8,66836.1,70542.9,74424.7
YNET,Optimal,134.164,155.64,179.061,204.431,231.996,261.909,294.334,329.445,367.461,408.612,453.152,501.366,553.567,610.1,671.349,737.731,809.699,887.811,972.646,1064.75,1164.67,1272.89,1389.25,1516,1653.47,1802.22,1962.94,2136.43,2323.57,2525.3,2742.65,2976.69,3228.58,3499.47,3790.54,4102.92,4437.55,4792.64,5177.39,5585.33,6018.8,6479.99,6970.98,7493.85,8050.69,8643.62,9274.79,9946.41,10660.7,11420.1,12227,13083.8,13993,14957.3,15979.4,17061.9,18207.7,19411.1,20684.3,22028.5,23448,24946.7,26528.6,28197.5,29957.5,31812.7,33767.3,35825.8,37992.6,40272.5,42670.1,45190.7,47839.1,50620.8,53541.1,56605.6,59820.2,63190.6,66723.1,70423.8,74299.2
Y,Optimal,134.158,155.602,178.691,203.903,231.271,260.922,293.002,327.709,365.214,405.721,449.46,496.676,547.646,602.668,662.071,726.208,795.46,870.482,951.631,1039.35,1134.07,1236.18,1350.67,1475.4,1610.71,1757.17,1915.46,2086.37,2270.76,2469.66,2684.04,2915.02,3163.72,3431.3,3718.94,4027.78,4358.76,4719.5,5100.74,5505.11,5934.95,6392.41,6879.59,7398.56,7951.39,8540.21,9167.16,9834.45,10544.4,11299.2,12101.4,12953.4,13857.8,14817.1,15834.1,16911.4,18051.9,19269.2,20537.4,21876.7,23291.2,24784.8,26361.5,28025.1,29779.8,31629.5,33578.7,35631.5,37792.7,40066.8,42458.7,44973.3,47615.8,50391.5,53305.7,56364.2,59572.5,62936.8,66463,70157.4,74026.4
I,Optimal,34.3936,39.4817,44.8778,50.8878,57.4529,64.6058,72.3841,80.8727,90.1237,100.205,111.199,123.19,136.276,150.564,166.167,183.193,201.732,222.104,244.321,268.432,294.287,321.398,353.285,387.949,425.618,466.519,510.932,559.116,611.387,668.032,729.414,795.86,867.657,945.078,1028.24,1116.96,1210.37,1321.46,1428.21,1541.43,1661.78,1789.87,1926.28,2071.6,2226.39,2391.26,2566.81,2753.65,2952.42,3163.78,3388.39,3626.96,3880.18,4148.79,4433.55,4735.2,5054.54,5395.36,5750.47,6125.47,6521.52,6939.74,7381.22,7847.04,8338.34,8856.27,9402.03,9976.83,10582,11218.7,11888.4,12592.5,13332.4,14109.6,14925.6,15782,16680.3,17622.3,18609.6,19644.1,20727.4
C,Optimal,99.7644,116.121,133.813,153.015,173.818,196.316,220.618,246.836,275.09,305.516,338.261,373.486,411.371,452.104,495.904,543.015,593.728,648.378,707.31,770.918,839.781,914.777,997.382,1087.45,1185.1,1290.66,1404.53,1527.25,1659.38,1801.62,1954.63,2119.16,2296.06,2486.22,2690.7,2910.82,3148.39,3398.04,3672.53,3963.68,4273.16,4602.53,4953.3,5326.96,5725,6148.95,6600.36,7080.81,7591.94,8135.43,8713.01,9326.46,9977.61,10668.3,11400.5,12176.2,12997.4,13873.8,14786.9,15751.2,16769.6,17845.1,18980.3,20178.1,21441.5,22773.3,24176.6,25654.7,27210.7,28848.1,30570.3,32380.8,34283.4,36281.9,38380.1,40582.2,42892.2,45314.5,47853.4,50513.3,53299
CPC,Optimal,12.868,14.2701,15.7777,17.4146,19.1927,21.1234,23.219,25.4918,27.9541,30.6198,33.5033,36.6203,39.9879,43.624,47.5492,51.786,56.3615,61.3068,66.6538,72.4386,78.7148,85.5636,93.122,101.375,110.332,120.024,130.488,141.773,153.929,167.024,181.115,196.274,212.579,230.11,248.967,269.271,291.189,314.225,339.558,366.431,395,425.407,457.792,492.293,529.048,568.197,609.884,654.255,701.461,751.657,805.003,861.664,921.808,985.608,1053.24,1124.89,1200.75,1281.7,1366.05,1455.12,1549.2,1648.54,1753.41,1864.06,1980.76,2103.79,2233.43,2369.97,2513.71,2664.97,2824.06,2991.31,3167.07,3351.69,3545.52,3748.94,3962.34,4186.1,4420.64,4666.36,4923.7
DAMFRAC,Optimal,0.00539251,0.00703864,0.00828992,0.00941771,0.0105394,0.0116815,0.0128394,0.0140169,0.015209,0.0164025,0.0175809,0.0187249,0.0198128,0.0208208,0.0217225,0.0224887,0.0230873,0.0233921,0.0234572,0.023277,0.0228267,0.0220775,0.0212557,0.0204517,0.0196746,0.0189159,0.0181656,0.0174153,0.0166582,0.0158899,0.0151071,0.0143073,0.0134894,0.0126526,0.0117973,0.0109248,0.0100374,0.00961336,0.00926879,0.00890559,0.00851151,0.00808961,0.00764405,0.00717826,0.00669528,0.00619808,0.00568982,0.00517397,0.00465435,0.0041352,0.00362117,0.00311736,0.00262926,0.00216279,0.00172416,0.0013199,0.000956726,0.00107954,0.00124471,0.00138235,0.00148311,0.00155322,0.00160103,0.00163345,0.00165543,0.00167037,0.00168053,0.00168742,0.00169202,0.001695,0.00169679,0.00169769,0.00169792,0.00169761,0.00169687,0.00169577,0.00169437,0.00169272,0.00169084,0.00168878,0.00168655
